idbook,title,author,language,code,section,description,physical_state,status,price
16978,LA BELLA DURMIENTE,EDITORIAL SOL98,ESPAÑOL,4101546,LL,INFANTIL,,1,0
16979,EL FLAUTISTA DE HAMELÍN,EDITORIAL SOL99,ESPAÑOL,4101547,LL,INFANTIL,,1,0
16980,¿ES ESA MI GATA?,JONATHAN ALLEN,ESPAÑOL,4101553,LL,INFANTIL,,0,0
16981,A VECES ME SIENTO… AMARILLO,CANIZALES VV KIDS,ESPAÑOL,4101554,LL,INFANTIL,,0,0
16982,LA RATITA PRESUMIDA,ASTURIAS,ESPAÑOL,4101555,LL,INFANTIL,,1,0
16983,¿CARA DE QUÉ?,IVANKE Y MEY,ESPAÑOL,4101556,LL,INFANTIL,,1,0
16984,EL LOBO Y LOS SIETE CABRITILLOS,ASTURIAS,ESPAÑOL,4101557,LL,INFANTIL,,1,0
16985,LA RATITA PRESUMIDA,ASTURIAS,ESPAÑOL,4101559,LL,INFANTIL,,0,0
16986,EL LOBO Y LOS SIETE CABRITILLOS,ASTURIAS,ESPAÑOL,4101560,LL,INFANTIL,,1,0
16987,LA PRINCESA Y LA RANA,ASTURIAS,ESPAÑOL,4101561,LL,INFANTIL,,0,0
16988,LA PEQUEÑA AEINSTEIN Y EL HUEVO MISTERIOSO,MARIATERESA CONTE,ESPAÑOL,4101562,LL,INFANTIL,,1,0
16989,LA MIEL Y LOS OSOS (RELATOS DE ANIMALES),ASTURIAS,ESPAÑOL,4101563,LL,INFANTIL,,1,0
16990,LA PEQUEÑA CONEJA BUSCA A SU MAMÁ,SIGMAR,ESPAÑOL,4101564,LL,INFANTIL,,0,0
16991,UN BÚHO MUY ATENTO (ZOO CUENTOS),LATINBOOKS,ESPAÑOL,4101565,LL,INFANTIL,,1,0
16992,VECINOS DE LA SELVA,LATINBOOKS,ESPAÑOL,4101566,LL,INFANTIL,,0,0
16993,BUBBA Y SUS AMIGOS,CAROLINA MICHA & MARIA FERNANDA RODRIGO,ESPAÑOL,4101567,LL,INFANTIL,,0,0
16994,CUENTOS DE MASCOTAS,ESTUDIO DIDÁCTICO,ESPAÑOL,4101568,LL,INFANTIL,,1,0
16995,HISTORIAS DE ANIMALES VOLUMEN 1,EASO,ESPAÑOL,4101569,LL,INFANTIL,,1,0
16996,HISTORIAS DIVERTIDAS DE ANIMALES VOLUMEN 2,EASO,ESPAÑOL,4101570,LL,INFANTIL,,1,0
16997,PERCENT ACTIVITY CARDS,OLGA GONZALEZ-GRANAT,INGLÉS,5000766,LG,MATEMÁTICAS,,1,0
16998,DECIMAL ACTIVITY CARDS,OLGA GONZALEZ-GRANAT,INGLÉS,5000771,LG,MATEMÁTICAS,,1,0
16999,UN CUENTO MUY CHIQUITITO,JESÚS AZNAR,ESPAÑOL,2001334,LL,INFANTIL,,1,0
17000,THE FROG PRINCE,EDITH H. TARCOV,INGLÉS,4000716,FR,INFANTIL,,0,0
17001,LUGARES QUE VISITO,ANÓNIMO,ESPAÑOL,2001458,LL,INFANTIL,,0,0
17002,COLECCIÓN BÁSICA DE ESCRITORES ECUATORIANOS POESÍA MODERNISTA,VARIOS AUTORES,ESPAÑOL,4101588,LL,POESÍA,PORTADA DESGASTADA,1,0
17003,MAUPASSANT EL HORLA,ALIANZA CIEN,ESPAÑOL,4101589,LL,RELATO,BUEN ESTADO,1,0
17004,EL SECUESTRO DE LA BIBLIOTECARIA,MARGARET MAHY,ESPAÑOL,4101591,LL,NOVELA,BUEN ESTADO,1,0
17005,EL CABALLO DE ARENA,ANN TURNBULL,ESPAÑOL,4101592,LL,AVENTURA,PORTADA DESGASTADA,0,0
17006,EL GATO CON BOTAS,EDARSI EDICIONES,ESPAÑOL,4101593,LL,INFANTIL,BUEN ESTADO,1,0
17007,CÓMO CUENTAN OVEJITAS LOS DEMÁS ANIMALITOS,CAROLIN HELM & JOELLE TOURLONIAS,ESPAÑOL,4101599,LL,INFANTIL,BUEN ESTADO,1,0
17008,ARE YOU READY TO PLAY OUTSIDE?,MO WILLEMS,INGLÉS,4010406,FR,INFANTIL,BUEN ESTADO,0,0
17009,"HILARIO, EL GATO ARRUGADO",FLORENCIA ESSES & MARTÍN MORÓN,ESPAÑOL,4101600,LL,INFANTIL,BUEN ESTADO,1,0
17010,"NO ESTÁS SOLO, MAXI ",MARÍA FERNANDA HEREDIA,ESPAÑOL,4200298,LG,NOVELA INFANTIL,BUEN ESTADO,1,0
17011,"NO ESTÁS SOLO, MAXI ",MARÍA FERNANDA HEREDIA,ESPAÑOL,4200299,LG,NOVELA INFANTIL,BUEN ESTADO,1,0
17012,"NO ESTÁS SOLO, MAXI ",MARÍA FERNANDA HEREDIA,ESPAÑOL,4200300,LG,NOVELA INFANTIL,BUEN ESTADO,1,0
17013,"NO ESTÁS SOLO, MAXI ",MARÍA FERNANDA HEREDIA,ESPAÑOL,4200295,LG,NOVELA INFANTIL,BUEN ESTADO,1,0
17014,"NO ESTÁS SOLO, MAXI ",MARÍA FERNANDA HEREDIA,ESPAÑOL,4200294,LG,NOVELA INFANTIL,BUEN ESTADO,1,0
17015,"NO ESTÁS SOLO, MAXI ",MARÍA FERNANDA HEREDIA,ESPAÑOL,4200293,LG,NOVELA INFANTIL,BUEN ESTADO,1,0
17016,"NO ESTÁS SOLO, MAXI ",MARÍA FERNANDA HEREDIA,ESPAÑOL,4200292,LG,NOVELA INFANTIL,BUEN ESTADO,1,0
17017,"NO ESTÁS SOLO, MAXI ",MARÍA FERNANDA HEREDIA,ESPAÑOL,4200291,LG,NOVELA INFANTIL,BUEN ESTADO,1,0
17018,"NO ESTÁS SOLO, MAXI ",MARÍA FERNANDA HEREDIA,ESPAÑOL,4200290,LG,NOVELA INFANTIL,BUEN ESTADO,0,0
17019,"NO ESTÁS SOLO, MAXI ",MARÍA FERNANDA HEREDIA,ESPAÑOL,4200289,LG,NOVELA INFANTIL,BUEN ESTADO,0,0
17020,"NO ESTÁS SOLO, MAXI ",MARÍA FERNANDA HEREDIA,ESPAÑOL,4200288,LG,NOVELA INFANTIL,BUEN ESTADO,0,0
17021,"NO ESTÁS SOLO, MAXI ",MARÍA FERNANDA HEREDIA,ESPAÑOL,4200286,LG,NOVELA INFANTIL,BUEN ESTADO,0,0
17022,"NO ESTÁS SOLO, MAXI ",MARÍA FERNANDA HEREDIA,ESPAÑOL,4200285,LG,NOVELA INFANTIL,BUEN ESTADO,0,0
17023,"NO ESTÁS SOLO, MAXI ",MARÍA FERNANDA HEREDIA,ESPAÑOL,4200284,LG,NOVELA INFANTIL,BUEN ESTADO,0,0
17024,"NO ESTÁS SOLO, MAXI ",MARÍA FERNANDA HEREDIA,ESPAÑOL,4200283,LG,NOVELA INFANTIL,BUEN ESTADO,0,0
17025,"NO ESTÁS SOLO, MAXI ",MARÍA FERNANDA HEREDIA,ESPAÑOL,4200282,LG,NOVELA INFANTIL,BUEN ESTADO,0,0
17026,"NO ESTÁS SOLO, MAXI ",MARÍA FERNANDA HEREDIA,ESPAÑOL,4200281,LG,NOVELA INFANTIL,BUEN ESTADO,0,0
17027,"NO ESTÁS SOLO, MAXI ",MARÍA FERNANDA HEREDIA,ESPAÑOL,4200280,LG,NOVELA INFANTIL,BUEN ESTADO,0,0
17028,"NO ESTÁS SOLO, MAXI ",MARÍA FERNANDA HEREDIA,ESPAÑOL,4200279,LG,NOVELA INFANTIL,BUEN ESTADO,0,0
17029,"NO ESTÁS SOLO, MAXI ",MARÍA FERNANDA HEREDIA,ESPAÑOL,4200278,LG,NOVELA INFANTIL,BUEN ESTADO,0,0
17030,"NO ESTÁS SOLO, MAXI ",MARÍA FERNANDA HEREDIA,ESPAÑOL,4200277,LG,NOVELA INFANTIL,BUEN ESTADO,0,0
17031,"NO ESTÁS SOLO, MAXI ",MARÍA FERNANDA HEREDIA,ESPAÑOL,4200302,LG,NOVELA INFANTIL,BUEN ESTADO,1,0
17032,"NO ESTÁS SOLO, MAXI ",MARÍA FERNANDA HEREDIA,ESPAÑOL,4200301,LG,NOVELA INFANTIL,BUEN ESTADO,0,0
17033,"NO ESTÁS SOLO, MAXI ",MARÍA FERNANDA HEREDIA,ESPAÑOL,4200287,LG,NOVELA INFANTIL,BUEN ESTADO,0,0
17034,"NO ESTÁS SOLO, MAXI ",MARÍA FERNANDA HEREDIA,ESPAÑOL,4200276,LG,NOVELA INFANTIL,BUEN ESTADO,0,0
17035,"NO ESTÁS SOLO, MAXI ",MARÍA FERNANDA HEREDIA,ESPAÑOL,4200296,LG,NOVELA INFANTIL,BUEN ESTADO,0,0
17036,"NO ESTÁS SOLO, MAXI ",MARÍA FERNANDA HEREDIA,ESPAÑOL,4200297,LG,NOVELA INFANTIL,BUEN ESTADO,0,0
17037,TIMID,JONATHAN TODD,INGLÉS,30009670,GR,NOVELA,BUEN ESTADO,0,0
17038,TIMID,JONATHAN TODD,INGLÉS,30009671,GR,NOVELA,BUEN ESTADO,0,0
17039,TIMID,JONATHAN TODD,INGLÉS,30009672,GR,NOVELA,BUEN ESTADO,0,0
17040,TIMID,JONATHAN TODD,INGLÉS,30009673,GR,NOVELA,BUEN ESTADO,0,0
17041,TIMID,JONATHAN TODD,INGLÉS,30009674,GR,NOVELA,BUEN ESTADO,0,0
17042,TIMID,JONATHAN TODD,INGLÉS,30009676,GR,NOVELA,BUEN ESTADO,0,0
17043,TIMID,JONATHAN TODD,INGLÉS,30009675,GR,NOVELA,BUEN ESTADO,0,0
17044,TIMID,JONATHAN TODD,INGLÉS,30009667,GR,NOVELA,BUEN ESTADO,0,0
17045,TIMID,JONATHAN TODD,INGLÉS,30009533,GR,NOVELA,BUEN ESTADO,1,0
17046,TIMID,JONATHAN TODD,INGLÉS,30009407,GR,NOVELA,BUEN ESTADO,0,0
17047,TIMID,JONATHAN TODD,INGLÉS,30009408,GR,NOVELA,BUEN ESTADO,0,0
17048,TIMID,JONATHAN TODD,INGLÉS,30009409,GR,NOVELA,BUEN ESTADO,0,0
17049,TIMID,JONATHAN TODD,INGLÉS,30009410,GR,NOVELA,BUEN ESTADO,0,0
17050,TIMID,JONATHAN TODD,INGLÉS,30009411,GR,NOVELA,BUEN ESTADO,0,0
17051,TIMID,JONATHAN TODD,INGLÉS,30009412,GR,NOVELA,BUEN ESTADO,0,0
17052,TIMID,JONATHAN TODD,INGLÉS,30009413,GR,NOVELA,BUEN ESTADO,0,0
17053,TIMID,JONATHAN TODD,INGLÉS,30009414,GR,NOVELA,BUEN ESTADO,0,0
17054,TIMID,JONATHAN TODD,INGLÉS,30009415,GR,NOVELA,BUEN ESTADO,0,0
17055,TIMID,JONATHAN TODD,INGLÉS,30009416,GR,NOVELA,BUEN ESTADO,0,0
17056,TIMID,JONATHAN TODD,INGLÉS,30009417,GR,NOVELA,BUEN ESTADO,0,0
17057,TIMID,JONATHAN TODD,INGLÉS,30009677,GR,NOVELA,BUEN ESTADO,1,0
17058,TIMID,JONATHAN TODD,INGLÉS,30009678,GR,NOVELA,BUEN ESTADO,1,0
17059,TIMID,JONATHAN TODD,INGLÉS,30009679,GR,NOVELA,BUEN ESTADO,1,0
17060,TIMID,JONATHAN TODD,INGLÉS,30009680,GR,NOVELA,BUEN ESTADO,1,0
17061,TIMID,JONATHAN TODD,INGLÉS,30009681,GR,NOVELA,BUEN ESTADO,1,0
17062,TIMID,JONATHAN TODD,INGLÉS,30009682,GR,NOVELA,BUEN ESTADO,1,0
17063,TIMID,JONATHAN TODD,INGLÉS,30009683,GR,NOVELA,BUEN ESTADO,1,0
17064,TIMID,JONATHAN TODD,INGLÉS,30009684,GR,NOVELA,BUEN ESTADO,1,0
17065,TIMID,JONATHAN TODD,INGLÉS,30009685,GR,NOVELA,BUEN ESTADO,1,0
17066,TIMID,JONATHAN TODD,INGLÉS,30009686,GR,NOVELA,BUEN ESTADO,1,0
17067,TIMID,JONATHAN TODD,INGLÉS,30009687,GR,NOVELA,BUEN ESTADO,1,0
17068,THE JOURNEY OF LITTLE CHARLIE,CHRISTOPHER PAUL CURTIS,INGLÉS,30009637,GR,NOVELA,BUEN ESTADO,1,11.99
17069,THE JOURNEY OF LITTLE CHARLIE,CHRISTOPHER PAUL CURTIS,INGLÉS,30009638,GR,NOVELA,BUEN ESTADO,1,11.99
17070,THE JOURNEY OF LITTLE CHARLIE,CHRISTOPHER PAUL CURTIS,INGLÉS,30009639,GR,NOVELA,BUEN ESTADO,1,11.99
17071,THE JOURNEY OF LITTLE CHARLIE,CHRISTOPHER PAUL CURTIS,INGLÉS,30009640,GR,NOVELA,BUEN ESTADO,1,11.99
17072,THE JOURNEY OF LITTLE CHARLIE,CHRISTOPHER PAUL CURTIS,INGLÉS,30009641,GR,NOVELA,BUEN ESTADO,1,11.99
17073,THE JOURNEY OF LITTLE CHARLIE,CHRISTOPHER PAUL CURTIS,INGLÉS,30009642,GR,NOVELA,BUEN ESTADO,1,11.99
17074,THE JOURNEY OF LITTLE CHARLIE,CHRISTOPHER PAUL CURTIS,INGLÉS,30009643,GR,NOVELA,BUEN ESTADO,1,11.99
17075,THE JOURNEY OF LITTLE CHARLIE,CHRISTOPHER PAUL CURTIS,INGLÉS,30009644,GR,NOVELA,BUEN ESTADO,1,11.99
17076,THE JOURNEY OF LITTLE CHARLIE,CHRISTOPHER PAUL CURTIS,INGLÉS,30009645,GR,NOVELA,BUEN ESTADO,1,11.99
17077,THE JOURNEY OF LITTLE CHARLIE,CHRISTOPHER PAUL CURTIS,INGLÉS,30009646,GR,NOVELA,BUEN ESTADO,1,11.99
17078,THE JOURNEY OF LITTLE CHARLIE,CHRISTOPHER PAUL CURTIS,INGLÉS,30009647,GR,NOVELA,BUEN ESTADO,1,11.99
17079,THE JOURNEY OF LITTLE CHARLIE,CHRISTOPHER PAUL CURTIS,INGLÉS,30009648,GR,NOVELA,BUEN ESTADO,1,11.99
17080,THE JOURNEY OF LITTLE CHARLIE,CHRISTOPHER PAUL CURTIS,INGLÉS,30009649,GR,NOVELA,BUEN ESTADO,1,11.99
17081,THE JOURNEY OF LITTLE CHARLIE,CHRISTOPHER PAUL CURTIS,INGLÉS,30009650,GR,NOVELA,BUEN ESTADO,1,11.99
17082,THE JOURNEY OF LITTLE CHARLIE,CHRISTOPHER PAUL CURTIS,INGLÉS,30009651,GR,NOVELA,BUEN ESTADO,1,11.99
17083,THE JOURNEY OF LITTLE CHARLIE,CHRISTOPHER PAUL CURTIS,INGLÉS,30009652,GR,NOVELA,BUEN ESTADO,1,11.99
17084,THE JOURNEY OF LITTLE CHARLIE,CHRISTOPHER PAUL CURTIS,INGLÉS,30009653,GR,NOVELA,BUEN ESTADO,1,11.99
17085,THE JOURNEY OF LITTLE CHARLIE,CHRISTOPHER PAUL CURTIS,INGLÉS,30009654,GR,NOVELA,BUEN ESTADO,1,11.99
17086,THE JOURNEY OF LITTLE CHARLIE,CHRISTOPHER PAUL CURTIS,INGLÉS,30009655,GR,NOVELA,BUEN ESTADO,1,11.99
17087,THE JOURNEY OF LITTLE CHARLIE,CHRISTOPHER PAUL CURTIS,INGLÉS,30009656,GR,NOVELA,BUEN ESTADO,1,11.99
17088,THE JOURNEY OF LITTLE CHARLIE,CHRISTOPHER PAUL CURTIS,INGLÉS,30009657,GR,NOVELA,BUEN ESTADO,1,11.99
17089,THE JOURNEY OF LITTLE CHARLIE,CHRISTOPHER PAUL CURTIS,INGLÉS,30009658,GR,NOVELA,BUEN ESTADO,1,11.99
17090,THE JOURNEY OF LITTLE CHARLIE,CHRISTOPHER PAUL CURTIS,INGLÉS,30009659,GR,NOVELA,BUEN ESTADO,1,11.99
17091,THE JOURNEY OF LITTLE CHARLIE,CHRISTOPHER PAUL CURTIS,INGLÉS,30009660,GR,NOVELA,BUEN ESTADO,1,11.99
17092,THE JOURNEY OF LITTLE CHARLIE,CHRISTOPHER PAUL CURTIS,INGLÉS,30009661,GR,NOVELA,BUEN ESTADO,1,11.99
17093,THE JOURNEY OF LITTLE CHARLIE,CHRISTOPHER PAUL CURTIS,INGLÉS,30009662,GR,NOVELA,BUEN ESTADO,1,11.99
17094,THE JOURNEY OF LITTLE CHARLIE,CHRISTOPHER PAUL CURTIS,INGLÉS,30009663,GR,NOVELA,BUEN ESTADO,1,11.99
