idloan,aqcisition_date,date_of_devolution,book_idbook,user_iduser,confirm_devolution
122,2024-12-05 08:08:28,NULL,11291,24,0
123,2024-12-05 08:07:24,NULL,11301,24,0
124,2024-12-04 12:17:52,NULL,16403,433,0
125,2024-12-04 12:17:28,NULL,13251,433,0
126,2024-12-04 12:13:59,NULL,14165,432,0
127,2024-12-04 12:13:25,NULL,4512,432,0
128,2024-12-04 12:12:49,NULL,8276,434,0
129,2024-12-04 12:12:21,NULL,7417,434,0
130,2024-12-04 12:09:48,NULL,1137,430,0
131,2024-12-04 12:09:17,NULL,12615,430,0
132,2024-12-04 09:38:06,NULL,5710,391,0
133,2024-12-04 09:35:46,NULL,15230,386,0
134,2024-12-04 09:17:18,NULL,4782,259,0
135,2024-12-04 09:14:24,NULL,7584,259,0
136,2024-12-03 13:06:34,NULL,7149,308,0
137,2024-12-03 13:06:00,NULL,6135,308,0
138,2024-12-03 12:58:32,NULL,5573,298,0
139,2024-12-03 12:57:40,NULL,14743,298,0
140,2024-12-03 10:23:09,NULL,2507,354,0
141,2024-12-03 10:22:00,NULL,4867,345,0
142,2024-12-03 10:21:26,NULL,11764,345,0
143,2024-12-02 07:46:14,NULL,17008,4,0
144,2024-12-02 07:45:36,NULL,14317,4,0
145,2024-11-29 13:13:43,NULL,15164,253,0
146,2024-11-29 13:13:14,NULL,15375,253,0
147,2024-11-29 10:28:59,NULL,5533,338,0
148,2024-11-29 10:27:13,NULL,14209,329,0
149,2024-11-29 10:26:36,NULL,11481,329,0
150,2024-11-29 10:25:47,NULL,16755,328,0
151,2024-11-29 10:25:05,NULL,16438,328,0
152,2024-11-29 10:20:14,NULL,14618,331,0
153,2024-11-29 10:18:58,NULL,16028,336,0
154,2024-11-29 10:18:24,NULL,16212,336,0
155,2024-11-29 09:12:08,NULL,16037,27,0
156,2024-11-29 09:11:34,NULL,12467,436,0
157,2024-11-29 09:10:56,NULL,4794,436,0
158,2024-11-28 11:17:29,NULL,16671,162,0
159,2024-11-28 11:16:14,NULL,6670,162,0
160,2024-11-28 11:12:03,NULL,3340,173,0
161,2024-11-28 11:11:27,NULL,14763,173,0
162,2024-11-28 11:08:57,NULL,16423,164,0
163,2024-11-28 11:07:51,NULL,15285,172,0
164,2024-11-28 11:07:04,NULL,1035,165,0
165,2024-11-28 10:19:58,NULL,15523,290,0
166,2024-11-28 10:15:25,NULL,15462,294,0
167,2024-11-28 10:12:55,NULL,4595,288,0
168,2024-11-28 10:12:21,NULL,6900,288,0
169,2024-11-28 10:11:11,NULL,14260,286,0
170,2024-11-28 10:10:38,NULL,15166,287,0
171,2024-11-28 10:10:04,NULL,15379,287,0
172,2024-11-27 13:51:01,NULL,16806,367,0
173,2024-11-27 13:50:14,NULL,14373,367,0
174,2024-11-27 13:48:19,NULL,15886,366,0
175,2024-11-27 13:47:50,NULL,2476,366,0
176,2024-11-27 13:47:06,NULL,14208,364,0
177,2024-11-27 13:44:01,NULL,17459,368,0
178,2024-11-27 13:43:05,NULL,3337,365,0
179,2024-11-27 13:42:35,NULL,764,365,0
180,2024-11-27 13:36:06,NULL,5569,362,0
181,2024-11-27 13:35:40,NULL,16050,362,0
182,2024-11-27 13:34:38,NULL,14251,356,0
183,2024-11-27 13:34:06,NULL,4915,356,0
184,2024-11-27 13:32:34,NULL,7562,357,0
185,2024-11-27 13:32:03,NULL,15161,357,0
186,2024-11-27 13:31:04,NULL,5487,359,0
187,2024-11-27 13:30:22,NULL,15471,359,0
188,2024-11-27 13:28:20,NULL,6152,360,0
189,2024-11-27 13:27:50,NULL,14547,360,0
190,2024-11-27 11:31:57,NULL,16172,342,0
191,2024-11-27 11:10:34,NULL,3395,373,0
192,2024-11-27 11:10:08,NULL,4757,373,0
193,2024-11-27 10:51:04,NULL,4158,417,0
194,2024-11-27 10:50:27,NULL,7507,417,0
195,2024-11-27 10:39:25,NULL,5183,2,0
196,2024-11-26 13:40:38,NULL,11806,316,0
197,2024-11-26 13:40:05,NULL,16074,316,0
198,2024-11-26 13:00:45,NULL,7391,305,0
199,2024-11-26 13:00:03,NULL,14721,305,0
200,2024-11-26 12:59:13,NULL,14297,302,0
201,2024-11-26 12:58:39,NULL,16095,302,0
202,2024-11-25 09:27:15,NULL,4579,20,0
203,2024-11-25 09:26:17,NULL,16633,20,0
204,2024-11-25 09:24:54,NULL,4574,20,0
